identifier_client,price,adate,curve_name
US458140CK47,90.27,2025-04-30,USD_SWAP
US125896BY50,97.4,2025-04-30,USD_SWAP
US25278XBB47,91.01,2025-04-30,USD_SWAP
US404119CW77,95.51,2025-04-30,USD_SWAP
US59284MAD65,76.25,2025-04-30,USD_SWAP
US682680CG69,90.04,2025-04-30,USD_SWAP
US78413KAB89,71.77,2025-04-30,USD_SWAP
US65339KDB35,101.24,2025-04-30,USD_SWAP
US677412AF59,90.59,2025-04-30,USD_SWAP
US80414L2Q77,91.31,2025-04-30,USD_SWAP
US268317BB98,93.73,2025-04-30,USD_SWAP
US65339KCW80,101.04,2025-04-30,USD_SWAP
US11271LAN29,94.58,2025-04-30,USD_SWAP
US91911TAS24,95.87,2025-04-30,USD_SWAP
US78413HAB50,71.94,2025-04-30,USD_SWAP
US126650EA42,93.62,2025-04-30,USD_SWAP
US21871XAT63,95.91,2025-04-30,USD_SWAP
US59284BAG32,77.39,2025-04-30,USD_SWAP
US682680BF95,105.31,2025-04-30,USD_SWAP
US200447AE01,84.75,2025-04-30,USD_SWAP
US29250NAN57,98.31,2025-04-30,USD_SWAP
US117043AV12,74.07,2025-04-30,USD_SWAP
US219350BQ76,87.18,2025-04-30,USD_SWAP
US83007CAG78,93.22,2025-04-30,USD_SWAP
US456829AC41,67.77,2025-04-30,USD_SWAP
US68389XDC65,97.83,2025-04-30,USD_SWAP
US02209SBG75,96.35,2025-04-30,USD_SWAP
US30161NBQ34,99.35,2025-04-30,USD_SWAP
US03837AAC45,86.21,2025-04-30,USD_SWAP
US744320BL59,102.34,2025-04-30,USD_SWAP
US65473PAT21,97.53,2025-04-30,USD_SWAP
US694308KK29,101.73,2025-04-30,USD_SWAP
US29278GBB32,118.12,2025-04-30,USD_SWAP
US59284MAB00,77.79,2025-04-30,USD_SWAP
US200447AJ97,67.37,2025-04-30,USD_SWAP
US682680BN20,100.65,2025-04-30,USD_SWAP
US86564CAE03,97.37,2025-04-30,USD_SWAP
US694308KH99,102.27,2025-04-30,USD_SWAP
US628530BJ54,74.64,2025-04-30,USD_SWAP
US361841AU37,95.37,2025-04-30,USD_SWAP
US628312AE05,98.44,2025-04-30,USD_SWAP
US03743QAN88,77.14,2025-04-30,USD_SWAP
US14745XAA63,90.34,2025-04-30,USD_SWAP
US219350BL89,94.49,2025-04-30,USD_SWAP
US29273VBF67,95.58,2025-04-30,USD_SWAP
US25470DBL29,57.37,2025-04-30,USD_SWAP
US260543DH36,105.44,2025-04-30,USD_SWAP
US28504DAD57,105.5,2025-04-30,USD_SWAP
US25470DAT63,74.74,2025-04-30,USD_SWAP
US47214BAD01,111.97,2025-04-30,USD_SWAP
US161175CC60,65.08,2025-04-30,USD_SWAP
US59284BAE83,82.76,2025-04-30,USD_SWAP
US03938LBH69,97.47,2025-04-30,USD_SWAP
US83444MAT80,96.35,2025-04-30,USD_SWAP
US097023CX16,92.88,2025-04-30,USD_SWAP
US054989AD07,108.99,2025-04-30,USD_SWAP
US89356BAG32,92.38,2025-04-30,USD_SWAP
US456829AB67,70.5,2025-04-30,USD_SWAP
US40049JAZ03,87.8,2025-04-30,USD_SWAP
US65339KDF49,101.13,2025-04-30,USD_SWAP
US636792AB91,82.85,2025-04-30,USD_SWAP
US25179MBH51,87.66,2025-04-30,USD_SWAP
US00973RAP82,88.62,2025-04-30,USD_SWAP
US458140CC21,77.96,2025-04-30,USD_SWAP
US07274NBH52,71.56,2025-04-30,USD_SWAP
US48667QAP00,83.22,2025-04-30,USD_SWAP
US29250NBC83,95.9,2025-04-30,USD_SWAP
US25470DBH17,68.24,2025-04-30,USD_SWAP
US073952AB93,96.99,2025-04-30,USD_SWAP
US26441CCG87,100.07,2025-04-30,USD_SWAP
US29273VBB53,93.29,2025-04-30,USD_SWAP
US92857WBZ23,91.87,2025-04-30,USD_SWAP
US11952AAA07,100.87,2025-04-30,USD_SWAP
US28504DAG88,99.31,2025-04-30,USD_SWAP
US694308KV83,95.89,2025-04-30,USD_SWAP
US161175CK86,79.53,2025-04-30,USD_SWAP
US62854AAP93,76.03,2025-04-30,USD_SWAP
US744320BP63,100.7,2025-04-30,USD_SWAP
US87612GAD34,99.85,2025-04-30,USD_SWAP
US92857WCB46,95.0,2025-04-30,USD_SWAP
US224044CV70,91.87,2025-04-30,USD_SWAP
US21987BBH06,97.09,2025-04-30,USD_SWAP
US161175BA14,92.98,2025-04-30,USD_SWAP
US89834JAC71,100.67,2025-04-30,USD_SWAP
US749983AB83,96.79,2025-04-30,USD_SWAP
US59156RCQ92,99.21,2025-04-30,USD_SWAP
US04686JAH41,97.24,2025-04-30,USD_SWAP
US89356BAB45,98.66,2025-04-30,USD_SWAP
US456472AC33,83.95,2025-04-30,USD_SWAP
US127097AN32,91.55,2025-04-30,USD_SWAP
US55336VBZ22,92.99,2025-04-30,USD_SWAP
US92556HAC16,73.6,2025-04-30,USD_SWAP
US59284BAD01,93.6,2025-04-30,USD_SWAP
US097023DT94,106.87,2025-04-30,USD_SWAP
US161175BN35,85.24,2025-04-30,USD_SWAP
US03769MAD83,93.37,2025-04-30,USD_SWAP
US87612GAN16,95.94,2025-04-30,USD_SWAP
US548661ES28,95.04,2025-04-30,USD_SWAP
US74365PAJ75,75.14,2025-04-30,USD_SWAP
US925650AG86,95.67,2025-04-30,USD_SWAP
US29273VAW00,92.31,2025-04-30,USD_SWAP
US05526DCD57,98.29,2025-04-30,USD_SWAP
US402740AE49,86.17,2025-04-30,USD_SWAP
US72284KAB70,96.92,2025-04-30,USD_SWAP
US65339KDE73,100.63,2025-04-30,USD_SWAP
US842400JK08,97.59,2025-04-30,USD_SWAP
US260543DM21,93.0,2025-04-30,USD_SWAP
US63111XAL55,99.79,2025-04-30,USD_SWAP
US980236AS23,88.51,2025-04-30,USD_SWAP
US224044CT25,89.81,2025-04-30,USD_SWAP
US641423CH90,98.53,2025-04-30,USD_SWAP
US674599DL68,96.03,2025-04-30,USD_SWAP
US68389XCV55,88.82,2025-04-30,USD_SWAP
US25278XAW92,96.92,2025-04-30,USD_SWAP
US303901BQ49,95.89,2025-04-30,USD_SWAP
US37940XAR35,91.71,2025-04-30,USD_SWAP
US378272CB22,97.2,2025-04-30,USD_SWAP
US694308KT38,92.45,2025-04-30,USD_SWAP
US458140BN94,77.63,2025-04-30,USD_SWAP
US963320AX45,69.26,2025-04-30,USD_SWAP
US86964WAB81,103.27,2025-04-30,USD_SWAP
US37310PAB76,88.45,2025-04-30,USD_SWAP
US19828TAC09,102.82,2025-04-30,USD_SWAP
US30958PAA12,95.74,2025-04-30,USD_SWAP
US25470DAD12,87.5,2025-04-30,USD_SWAP
US19828TAH95,93.97,2025-04-30,USD_SWAP
US92553PAW23,77.22,2025-04-30,USD_SWAP
US37045VAT70,90.11,2025-04-30,USD_SWAP
US472140AC65,101.2,2025-04-30,USD_SWAP
US24703TAK25,121.77,2025-04-30,USD_SWAP
US69377FAC05,95.95,2025-04-30,USD_SWAP
US37045VAL45,99.34,2025-04-30,USD_SWAP
US404119DC05,98.71,2025-04-30,USD_SWAP
US444859CC48,94.49,2025-04-30,USD_SWAP
US92553PAU66,84.52,2025-04-30,USD_SWAP
US88322YAD31,81.13,2025-04-30,USD_SWAP
US110122EC85,106.79,2025-04-30,USD_SWAP
US548661EN31,94.75,2025-04-30,USD_SWAP
US68389XCK90,108.2,2025-04-30,USD_SWAP
US303901BR22,100.24,2025-04-30,USD_SWAP
US655844CB22,85.81,2025-04-30,USD_SWAP
US958254AL80,82.95,2025-04-30,USD_SWAP
US87612KAC62,96.84,2025-04-30,USD_SWAP
US29250NBZ78,106.04,2025-04-30,USD_SWAP
US874060BN56,95.65,2025-04-30,USD_SWAP
US345370CS72,79.2,2025-04-30,USD_SWAP
US718547AW25,88.89,2025-04-30,USD_SWAP
US628530BC02,79.48,2025-04-30,USD_SWAP
US74445PAD42,102.47,2025-04-30,USD_SWAP
US842400JH78,94.21,2025-04-30,USD_SWAP
US161175CG74,60.07,2025-04-30,USD_SWAP
US036752BF97,96.62,2025-04-30,USD_SWAP
US899043AA10,84.73,2025-04-30,USD_SWAP
US458140CM03,88.17,2025-04-30,USD_SWAP
US114259AY07,102.37,2025-04-30,USD_SWAP
US458140CJ73,89.28,2025-04-30,USD_SWAP
US95101VAA70,78.82,2025-04-30,USD_SWAP
US501044DX60,93.27,2025-04-30,USD_SWAP
US842587EB90,102.22,2025-04-30,USD_SWAP
US575767AL25,80.66,2025-04-30,USD_SWAP
US161175BS22,78.0,2025-04-30,USD_SWAP
US05571ABB08,102.02,2025-04-30,USD_SWAP
US682680CF86,90.0,2025-04-30,USD_SWAP
US56585AAJ16,78.53,2025-04-30,USD_SWAP
US20826FBN50,93.62,2025-04-30,USD_SWAP
US46590XAX49,102.58,2025-04-30,USD_SWAP
US404119CV94,95.72,2025-04-30,USD_SWAP
US343498AE15,99.38,2025-04-30,USD_SWAP
US161175BY99,59.06,2025-04-30,USD_SWAP
US012725AD95,81.16,2025-04-30,USD_SWAP
US91324PET57,100.86,2025-04-30,USD_SWAP
US161175BL78,81.06,2025-04-30,USD_SWAP
US031162DU18,95.55,2025-04-30,USD_SWAP
US260543DK64,88.66,2025-04-30,USD_SWAP
US268317AR59,83.45,2025-04-30,USD_SWAP
US55336VBW90,89.33,2025-04-30,USD_SWAP
US20826FBH82,94.43,2025-04-30,USD_SWAP
US210385AE04,103.59,2025-04-30,USD_SWAP
US25278XBA63,91.43,2025-04-30,USD_SWAP
US254010AE13,86.07,2025-04-30,USD_SWAP
US842400JD64,91.44,2025-04-30,USD_SWAP
US456472AD16,73.4,2025-04-30,USD_SWAP
US161175BT05,74.4,2025-04-30,USD_SWAP
US126650EF39,96.63,2025-04-30,USD_SWAP
US05974EAA82,99.1,2025-04-30,USD_SWAP
US65339KBK51,96.84,2025-04-30,USD_SWAP
US29279FAA75,95.96,2025-04-30,USD_SWAP
US585270AE15,98.28,2025-04-30,USD_SWAP
US034863BF64,95.78,2025-04-30,USD_SWAP
US19828TAF30,91.03,2025-04-30,USD_SWAP
US78081BAS25,94.4,2025-04-30,USD_SWAP
US842400HX47,93.61,2025-04-30,USD_SWAP
US404121AL94,95.35,2025-04-30,USD_SWAP
US400131AJ78,92.3,2025-04-30,USD_SWAP
US718547AX08,88.06,2025-04-30,USD_SWAP
US03835VAH96,83.26,2025-04-30,USD_SWAP
US444859CB64,91.88,2025-04-30,USD_SWAP
US26874RAP38,95.36,2025-04-30,USD_SWAP
US575718AA93,99.17,2025-04-30,USD_SWAP
US914886AA41,91.36,2025-04-30,USD_SWAP
US55336VAP58,78.63,2025-04-30,USD_SWAP
US958254AJ35,81.86,2025-04-30,USD_SWAP
US378272BV94,94.35,2025-04-30,USD_SWAP
US527288BF07,96.72,2025-04-30,USD_SWAP
US03831WAE84,95.92,2025-04-30,USD_SWAP
US55903VBD47,75.78,2025-04-30,USD_SWAP
US04316JAG40,108.89,2025-04-30,USD_SWAP
US361448BR38,97.35,2025-04-30,USD_SWAP
US49456BBA89,95.28,2025-04-30,USD_SWAP
US958667AA50,81.77,2025-04-30,USD_SWAP
US91324PFM95,96.64,2025-04-30,USD_SWAP
US80281LAB18,85.18,2025-04-30,USD_SWAP
US87264ACX19,97.08,2025-04-30,USD_SWAP
US126650DZ02,94.09,2025-04-30,USD_SWAP
US71568PAH29,96.79,2025-04-30,USD_SWAP
US124857AK99,75.0,2025-04-30,USD_SWAP
US89356BAE83,95.13,2025-04-30,USD_SWAP
US404119CR82,94.5,2025-04-30,USD_SWAP
US674599CY98,68.9,2025-04-30,USD_SWAP
US018820AC48,102.22,2025-04-30,USD_SWAP
US80414L2P94,92.83,2025-04-30,USD_SWAP
US76720AAW62,99.74,2025-04-30,USD_SWAP
US92556VAF31,62.88,2025-04-30,USD_SWAP
US963320AV88,70.07,2025-04-30,USD_SWAP
US18600TAA07,82.98,2025-04-30,USD_SWAP
US91529YAT38,97.09,2025-04-30,USD_SWAP
US842400HV80,91.64,2025-04-30,USD_SWAP
US925650AE39,89.69,2025-04-30,USD_SWAP
US68389XDB82,97.96,2025-04-30,USD_SWAP
US828807DX23,107.92,2025-04-30,USD_SWAP
US61237WAG15,67.71,2025-04-30,USD_SWAP
US20030NEG25,92.46,2025-04-30,USD_SWAP
US37045VAQ32,84.49,2025-04-30,USD_SWAP
US05526DBV64,90.17,2025-04-30,USD_SWAP
US444859BX93,88.31,2025-04-30,USD_SWAP
US69370PAC59,101.11,2025-04-30,USD_SWAP
US29278NAE31,93.28,2025-04-30,USD_SWAP
US11271LAP76,94.79,2025-04-30,USD_SWAP
US694308KD85,84.19,2025-04-30,USD_SWAP
US654579AM33,101.28,2025-04-30,USD_SWAP
US10922NAF06,73.75,2025-04-30,USD_SWAP
US674599CF00,72.34,2025-04-30,USD_SWAP
US677050AU08,100.7,2025-04-30,USD_SWAP
US969457CQ10,98.28,2025-04-30,USD_SWAP
US91324PFD96,92.85,2025-04-30,USD_SWAP
US571676BD64,98.57,2025-04-30,USD_SWAP
US89157XAC56,95.57,2025-04-30,USD_SWAP
US03990BAB71,91.26,2025-04-30,USD_SWAP
US00652MAJ18,76.4,2025-04-30,USD_SWAP
US200447AC45,85.73,2025-04-30,USD_SWAP
US27636AAC62,101.73,2025-04-30,USD_SWAP
US74445PAG72,91.87,2025-04-30,USD_SWAP
US71568PAF62,95.89,2025-04-30,USD_SWAP
US478375AN81,82.42,2025-04-30,USD_SWAP
US29250NAS45,95.96,2025-04-30,USD_SWAP
US674599CL77,65.4,2025-04-30,USD_SWAP
US655844CU03,101.75,2025-04-30,USD_SWAP
US110122EL84,96.0,2025-04-30,USD_SWAP
US100743AN37,99.52,2025-04-30,USD_SWAP
US842400HR78,87.74,2025-04-30,USD_SWAP
US674599CN34,66.98,2025-04-30,USD_SWAP
US858119BT62,94.49,2025-04-30,USD_SWAP
US61237WAE66,82.41,2025-04-30,USD_SWAP
US124857AF05,86.73,2025-04-30,USD_SWAP
US126650DV97,91.16,2025-04-30,USD_SWAP
US649322AE41,81.36,2025-04-30,USD_SWAP
US06738ECS28,99.4,2025-04-30,USD_SWAP
US83367TBT51,86.89,2025-04-30,USD_SWAP
US29286DAC92,96.13,2025-04-30,USD_SWAP
US42218SAM08,96.27,2025-04-30,USD_SWAP
US124857AN39,72.5,2025-04-30,USD_SWAP
US89157XAF87,91.92,2025-04-30,USD_SWAP
US832696AZ12,106.36,2025-04-30,USD_SWAP
US92857WBT62,85.13,2025-04-30,USD_SWAP
US20268JAM53,104.27,2025-04-30,USD_SWAP
US11271LAL62,97.67,2025-04-30,USD_SWAP
US01538TAA34,73.17,2025-04-30,USD_SWAP
US29250NCD57,97.46,2025-04-30,USD_SWAP
US302491AV74,72.07,2025-04-30,USD_SWAP
US00206RDT68,95.25,2025-04-30,USD_SWAP
US015271BD04,92.29,2025-04-30,USD_SWAP
US570535AY06,98.66,2025-04-30,USD_SWAP
US521865AZ81,83.65,2025-04-30,USD_SWAP
US36120PAC77,107.79,2025-04-30,USD_SWAP
US43475DAA54,97.3,2025-04-30,USD_SWAP
US565130AA94,67.3,2025-04-30,USD_SWAP
US92857WCA62,94.63,2025-04-30,USD_SWAP
US970648AN13,96.99,2025-04-30,USD_SWAP
US151191BG76,87.62,2025-04-30,USD_SWAP
US911312CF10,95.96,2025-04-30,USD_SWAP
US15132HAG65,100.63,2025-04-30,USD_SWAP
US01626PAV85,92.33,2025-04-30,USD_SWAP
US161175CA05,63.31,2025-04-30,USD_SWAP
US552081AM30,75.98,2025-04-30,USD_SWAP
US458140CB48,79.7,2025-04-30,USD_SWAP
US20268JAT07,91.65,2025-04-30,USD_SWAP
US83444MAS08,97.25,2025-04-30,USD_SWAP
US695114DE50,96.03,2025-04-30,USD_SWAP
US151191BL61,82.72,2025-04-30,USD_SWAP
US345370CQ17,74.93,2025-04-30,USD_SWAP
US210385AF78,94.66,2025-04-30,USD_SWAP
US674599DH56,108.88,2025-04-30,USD_SWAP
US969457CN88,96.04,2025-04-30,USD_SWAP
US067316AH25,84.39,2025-04-30,USD_SWAP
US677050AX47,97.93,2025-04-30,USD_SWAP
US716973AH54,90.96,2025-04-30,USD_SWAP
US96332HCG20,80.56,2025-04-30,USD_SWAP
US13034VAA26,80.93,2025-04-30,USD_SWAP
US401378AC83,83.25,2025-04-30,USD_SWAP
US56585AAM45,91.04,2025-04-30,USD_SWAP
US958254AD64,85.01,2025-04-30,USD_SWAP
US60284MAB81,72.92,2025-04-30,USD_SWAP
US42981FAA93,96.56,2025-04-30,USD_SWAP
US83272GAB77,95.5,2025-04-30,USD_SWAP
US65339KDM99,98.14,2025-04-30,USD_SWAP
US30958QAA94,90.23,2025-04-30,USD_SWAP
US10922NAH61,62.89,2025-04-30,USD_SWAP
US91324PEX69,88.41,2025-04-30,USD_SWAP
US03769MAC01,96.07,2025-04-30,USD_SWAP
US42824CBW82,92.9,2025-04-30,USD_SWAP
US837004CJ73,87.01,2025-04-30,USD_SWAP
US92857WBY57,92.47,2025-04-30,USD_SWAP
US677050AV80,96.11,2025-04-30,USD_SWAP
US30161NBS99,97.95,2025-04-30,USD_SWAP
US26441CCA18,100.65,2025-04-30,USD_SWAP
US29336UAG22,86.5,2025-04-30,USD_SWAP
US53079EBN31,89.98,2025-04-30,USD_SWAP
US03115AAC71,62.71,2025-04-30,USD_SWAP
US575718AB76,80.81,2025-04-30,USD_SWAP
US690742AQ43,98.75,2025-04-30,USD_SWAP
US575767AK42,75.35,2025-04-30,USD_SWAP
US12661PAF62,83.67,2025-04-30,USD_SWAP
US07274NAQ60,78.69,2025-04-30,USD_SWAP
US256677AM79,89.9,2025-04-30,USD_SWAP
US674599CJ22,71.28,2025-04-30,USD_SWAP
US37045VAF76,95.1,2025-04-30,USD_SWAP
US55336VAT70,88.33,2025-04-30,USD_SWAP
US68389XCU72,89.36,2025-04-30,USD_SWAP
US87612GAB77,81.15,2025-04-30,USD_SWAP
US49456BAW19,89.02,2025-04-30,USD_SWAP
US68389XCQ60,91.43,2025-04-30,USD_SWAP
US36830BAC90,70.43,2025-04-30,USD_SWAP
US15135UAR05,86.06,2025-04-30,USD_SWAP
US74365PAD06,66.13,2025-04-30,USD_SWAP
US151191BD46,87.76,2025-04-30,USD_SWAP
US55336VBT61,81.17,2025-04-30,USD_SWAP
US29273RBJ77,95.45,2025-04-30,USD_SWAP
US65473PAU93,98.24,2025-04-30,USD_SWAP
US871829BN62,106.62,2025-04-30,USD_SWAP
US29250RAX44,112.63,2025-04-30,USD_SWAP
US26441CCF05,96.5,2025-04-30,USD_SWAP
US375558CE12,97.09,2025-04-30,USD_SWAP
US70450YAN31,89.68,2025-04-30,USD_SWAP
US00217GAC78,67.99,2025-04-30,USD_SWAP
US341081GZ45,101.09,2025-04-30,USD_SWAP
US438516CU84,92.48,2025-04-30,USD_SWAP
US09581JAU07,67.98,2025-04-30,USD_SWAP
US29278NAR44,81.47,2025-04-30,USD_SWAP
US845743BX00,100.04,2025-04-30,USD_SWAP
US539830BY44,102.75,2025-04-30,USD_SWAP
US65364UAU07,94.1,2025-04-30,USD_SWAP
US14149YBT47,96.15,2025-04-30,USD_SWAP
US74365PAE88,63.31,2025-04-30,USD_SWAP
US585270AD32,96.88,2025-04-30,USD_SWAP
US27636AAA07,94.42,2025-04-30,USD_SWAP
US654579AN16,99.22,2025-04-30,USD_SWAP
US015398AC46,104.26,2025-04-30,USD_SWAP
US292487AB10,63.01,2025-04-30,USD_SWAP
US50201PAA49,98.11,2025-04-30,USD_SWAP
US78397DAD03,93.03,2025-04-30,USD_SWAP
US30303M8R66,99.9,2025-04-30,USD_SWAP
US854502AJ02,78.99,2025-04-30,USD_SWAP
US86765BAV18,86.7,2025-04-30,USD_SWAP
US69370PAJ03,69.16,2025-04-30,USD_SWAP
US36267VAM54,105.51,2025-04-30,USD_SWAP
US575634AV24,97.97,2025-04-30,USD_SWAP
US744448DB49,98.41,2025-04-30,USD_SWAP
US472319AM43,98.3,2025-04-30,USD_SWAP
US161175BV50,61.81,2025-04-30,USD_SWAP
US212015AQ46,78.5,2025-04-30,USD_SWAP
US575767AM08,88.21,2025-04-30,USD_SWAP
US842434CX83,105.1,2025-04-30,USD_SWAP
US05526DBQ79,86.18,2025-04-30,USD_SWAP
US07274NBE22,75.17,2025-04-30,USD_SWAP
US30303M8W51,96.66,2025-04-30,USD_SWAP
US87264ADU60,99.37,2025-04-30,USD_SWAP
US92553PAP71,71.72,2025-04-30,USD_SWAP
US88322YAB74,78.08,2025-04-30,USD_SWAP
US744320BK76,99.3,2025-04-30,USD_SWAP
US124857AJ27,77.18,2025-04-30,USD_SWAP
US37045VAJ98,83.37,2025-04-30,USD_SWAP
US04316JAE91,96.02,2025-04-30,USD_SWAP
US29273RBL24,85.36,2025-04-30,USD_SWAP
US88732JBB35,85.16,2025-04-30,USD_SWAP
US50249AAK97,62.98,2025-04-30,USD_SWAP
US91324PEL22,84.74,2025-04-30,USD_SWAP
US260543CR27,89.71,2025-04-30,USD_SWAP
US097023CW33,94.13,2025-04-30,USD_SWAP
US358070AB61,70.5,2025-04-30,USD_SWAP
US29245JAK88,73.95,2025-04-30,USD_SWAP
US53079EBK91,65.9,2025-04-30,USD_SWAP
US12636YAG70,99.12,2025-04-30,USD_SWAP
US88322YAL56,62.69,2025-04-30,USD_SWAP
US29278GAY44,91.22,2025-04-30,USD_SWAP
US87264ADD46,100.79,2025-04-30,USD_SWAP
US458140BM12,78.28,2025-04-30,USD_SWAP
US91481CAA80,82.16,2025-04-30,USD_SWAP
US29379VBR33,96.31,2025-04-30,USD_SWAP
US04316JAJ88,96.69,2025-04-30,USD_SWAP
US682680BZ59,79.6,2025-04-30,USD_SWAP
US46817MAN74,66.8,2025-04-30,USD_SWAP
US826418BQ78,99.03,2025-04-30,USD_SWAP
US31428XCA28,86.29,2025-04-30,USD_SWAP
US695114DA39,92.49,2025-04-30,USD_SWAP
US929160BD00,96.2,2025-04-30,USD_SWAP
US898813AX88,99.86,2025-04-30,USD_SWAP
US55336VBP40,84.57,2025-04-30,USD_SWAP
US72284LAA70,90.7,2025-04-30,USD_SWAP
US125491AP51,68.52,2025-04-30,USD_SWAP
US036752BE23,96.38,2025-04-30,USD_SWAP
US524660BA49,58.92,2025-04-30,USD_SWAP
US548661EF07,75.94,2025-04-30,USD_SWAP
US036752AX13,101.53,2025-04-30,USD_SWAP
US260543CV39,79.16,2025-04-30,USD_SWAP
US03740MAF77,97.1,2025-04-30,USD_SWAP
US125523CW86,94.19,2025-04-30,USD_SWAP
US678858BZ38,98.66,2025-04-30,USD_SWAP
US682680AV54,84.96,2025-04-30,USD_SWAP
US665501AN23,94.68,2025-04-30,USD_SWAP
US655844CJ57,69.03,2025-04-30,USD_SWAP
US46115HBS58,79.36,2025-04-30,USD_SWAP
US097023CF00,64.47,2025-04-30,USD_SWAP
US42824CAY57,99.69,2025-04-30,USD_SWAP
US38141GC514,97.5,2025-04-30,USD_SWAP
US00289LAA35,104.26,2025-04-30,USD_SWAP
US253393AG77,68.77,2025-04-30,USD_SWAP
