scenario_name,period_number,simulation_number,curve_name,curve_adate,curve_year,period_length,parallel_shock_size
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,2,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,3,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,4,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,5,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,6,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,7,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,8,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,9,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,10,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,12,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,15,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,20,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,25,1.0,-1.35
USD_SWAP_SHIFT_03,7,0,USD_SWAP,2025-05-07,30,1.0,-1.35
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,1,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,2,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,3,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,4,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,5,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,6,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,7,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,8,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,9,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,10,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,12,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,15,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,20,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,25,1.0,-1.6
USD_SWAP_SHIFT_03,8,0,USD_SWAP,2025-05-07,30,1.0,-1.6
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,1,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,2,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,3,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,4,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,5,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,6,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,7,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,8,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,9,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,10,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,12,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,15,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,20,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,25,1.0,-1.85
USD_SWAP_SHIFT_03,9,0,USD_SWAP,2025-05-07,30,1.0,-1.85
